,ranking,title,artist,songwriters,producers,label
0,1,Last Night,Morgan Wallen,"J.Byron, A.G.Gorley, J.K.Hindlin, Charlie Handsome",J.Moi,Big Loud/Mercury/Republic
1,2,Flowers,Miley Cyrus,"M.Cyrus, M.R.Pollack, G.Hein","Kid Harpoon, T.Johnson",Smiley Miley/Columbia
2,3,Fast Car,Luke Combs,T.L.Chapman,"Chip Matthews, J.D.Singleton, L.Combs",River House/Columbia Nashville/Columbia
3,4,Calm Down,Rema & Selena Gomez,"M.Hunter, Andre Vibez, A.Ibanez, S.Gomez","London, Andre Vibez",Jonzing World/Mavin/SMG Music/Virgin/Interscope
4,5,All My Life,Lil Durk Featuring J. Cole,"D.D.Banks, J.Cole, L.S.Gottwald, R.J.Ogren, G.Lewis, T.M.Thomas, R.Valdes",Dr. Luke,Alamo
5,6,Favorite Song,Toosii,"N.L.Grainger, A.Sicaju, T.Manaois","ADELSO, T.Manaois",SouthCoast/Capitol
6,7,Kill Bill,SZA,"S.I.Rowe, R.Bisel, C.Lang","R.Bisel, C.Lang",Top Dawg/RCA
7,8,Creepin',"Metro Boomin, The Weeknd & 21 Savage","C.L.Hawkins, E.Sermon, P.Smith, M.C.Jones, E.N.Bhraonain, R.Ryan, N.Ryan, M.M.Winans","Metro Boomin, DaHeala",Boominati/Republic
8,9,Karma,Taylor Swift Featuring Ice Spice,"T.Swift, J.M.Antonoff, M.A.Spears, K.D.Torres, J.A.Sweet, I.Gaston, E.Lopez Jr.","J.M.Antonoff, T.Swift, Sounwave, Keanu Beats, J.A.Sweet",Republic
9,10,Ella Baila Sola,Eslabon Armado X Peso Pluma,P.J.Tovar Oceguera Jr.,"P.J.Tovar Oceguera Jr., E.Fernandez",Prajin Parlay/DEL
10,11,Sure Thing,Miguel,"M.J.Pimentel, N.Perez",Happy Perez,ByStorm/Black Ice/Jive/Legacy/RCA
11,12,Anti-Hero,Taylor Swift,"T.Swift, J.M.Antonoff","J.M.Antonoff, T.Swift",Republic
12,13,Die For You,The Weeknd & Ariana Grande,"A.M.Tesfaye, M.McKinney, Prince 85, Dylan Wiggins, M.A.Hoiberg, W.T.Walsh, H.R.Walter, A.Grande","The Weeknd, Cirkut, Doc McKinney, Cashmere Cat, Prince 85",XO/Republic
13,14,Something In The Orange,Zach Bryan,Z.L.Bryan,R.Hadlock,Belting Bronco/Warner/WAR
14,15,Snooze,SZA,"S.I.Rowe, Babyface, K.van Riddick-Tynes, L.G.Thomas III, B.Ferguson","Babyface, K.van Riddick-Tynes, L.Thomas, BLK",Top Dawg/RCA
15,16,La Bebe,Yng Lvcas x Peso Pluma,"D.O.Donlucas Martinez, H.E.Kabande Laija, H.A.Salazar Aguayo","HazaKingBeatz, Bounce Bosses",Yng Lvcas/Warner Latina
16,17,Where She Goes,Bad Bunny,"B.A.Martinez Ocasio, M.D.Borrero, R.Rosardo Torres","MAG, La Paciencia",Rimas
17,18,Un x100to,Grupo Frontera X Bad Bunny,"B.A.Martinez Ocasio, M.D.Borrero, E.I.Barrera, A.J.Correa Torres","E.Barrera, MAG",Rimas
18,19,Need A Favor,Jelly Roll,"J.B.DeFord, A.A.Nivarel, J.Ragosta, R.Ragosta",A.Nivarel,Bailee & Buddy/BMG/Stoney Creek/Broken Bow
19,20,Search & Rescue,Drake,"A.Graham, N.J.Shebib, B.Saint Fort, Jesse Saint John, W.Curtis, J.Raisen, Lil Yachty","BNYX, Sad Pony, W.Curtis, 40, Lil Yachty",OVO Sound/Republic
20,21,You Proof,Morgan Wallen,"M.C.Wallen, A.G.Gorley, E.K.Smith, Charlie Handsome","J.Moi, Charlie Handsome",Big Loud/Mercury/Republic
21,22,Thinkin' Bout Me,Morgan Wallen,"J.Byron, A.G.Gorley, T.Phillips, Charlie Handsome","J.Moi, Charlie Handsome",Big Loud/Mercury/Republic
22,23,Chemical,Post Malone,"A.R.Post, L.B.Bell, A.Wotman, B.Walsh","Post Malone, L.Bell, Andrew Watt",Mercury/Republic
